SnapshotDate,OpportunityId,AccountId,AccountName,OpportunityName,Type,StageName,ForecastCategoryName,Amount,CloseDate,CreatedDate,StageEnteredDate,LastActivityDate,NextStep,OwnerId,OwnerName,TrainingDataNotice
2026-08-20,006SYNAUG001,001SYNAUG001,Aster Health,Aster Health — Growth Opportunity,Renewal,Negotiation,BestCase,340000,2026-11-30,2026-03-02,2026-07-02,2026-08-10,Confirm renewal scope with finance,OWN-A01,Jordan Lee,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG002,001SYNAUG002,Brookline Media,Brookline Media — Growth Opportunity,Expansion,Proposal,Pipeline,85000,2026-09-30,2026-04-03,2026-06-03,2026-07-03,Reconfirm executive review date,OWN-A02,Taylor Brooks,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG003,001SYNAUG003,Cobalt Labs,Cobalt Labs — Growth Opportunity,Expansion,Discovery,Pipeline,120000,2026-12-31,2026-05-04,2026-07-04,2026-08-06,Document the business case owner,OWN-A03,Morgan Patel,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG004,001SYNAUG004,Dovetail Travel,Dovetail Travel — Growth Opportunity,Renewal,Negotiation,Commit,420000,2026-09-30,2026-02-05,2026-06-05,2026-08-08,Complete procurement approval,OWN-A04,Casey Nguyen,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG005,001SYNAUG005,Elmstead Home,Elmstead Home — Growth Opportunity,Expansion,Proposal,BestCase,60000,2026-07-15,2026-03-06,2026-07-06,2026-06-30,Confirm whether the evaluation is active,OWN-A01,Jordan Lee,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG006,001SYNAUG006,Fortis Bank,Fortis Bank — Growth Opportunity,Expansion,Proposal,Pipeline,95000,2026-10-30,2026-04-07,2026-06-07,2026-08-03,Resolve security review questions,OWN-A02,Taylor Brooks,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG007,001SYNAUG007,Goodtrail Pets,Goodtrail Pets — Growth Opportunity,Renewal,Discovery,Pipeline,150000,2027-01-14,2026-05-08,2026-07-08,2026-07-29,Confirm renewal decision process,OWN-A03,Morgan Patel,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG008,001SYNAUG008,Harborlight Mobility,Harborlight Mobility — Growth Opportunity,Renewal,Proposal,BestCase,290000,2026-10-31,2026-02-09,2026-06-09,2026-08-05,Review the revised close plan,OWN-A04,Casey Nguyen,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG009,001SYNAUG009,Ironwood Foods,Ironwood Foods — Growth Opportunity,Renewal,Discovery,Pipeline,185000,2027-03-31,2026-03-10,2026-07-10,2026-07-31,Schedule value review,OWN-A01,Jordan Lee,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG010,001SYNAUG010,Junction Apparel,Junction Apparel — Growth Opportunity,Renewal,Negotiation,BestCase,260000,2026-09-27,2026-04-11,2026-06-11,2026-08-12,Confirm final approver,OWN-A02,Taylor Brooks,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG011,001SYNAUG011,Kingswell Hospitality,Kingswell Hospitality — Growth Opportunity,New Business,Discovery,Pipeline,140000,2026-11-15,2026-05-12,2026-07-12,2026-07-21,Complete use-case discovery,OWN-A03,Morgan Patel,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG012,001SYNAUG012,Lantern Beauty,Lantern Beauty — Growth Opportunity,New Business,Proposal,Pipeline,175000,2026-10-15,2026-02-13,2026-06-13,2026-06-20,Reconfirm buyer meeting,OWN-A04,Casey Nguyen,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG013,001SYNAUG013,Mossland Outdoor,Mossland Outdoor — Growth Opportunity,New Business,Discovery,Pipeline,130000,2026-12-01,2026-03-14,2026-07-14,2026-08-02,Identify technical evaluator,OWN-A01,Jordan Lee,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG014,001SYNAUG014,Newbridge Education,Newbridge Education — Growth Opportunity,New Business,Proposal,Pipeline,95000,2026-10-30,2026-04-15,2026-06-15,2026-06-05,Confirm evaluation timeline,OWN-A02,Taylor Brooks,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG015,001SYNAUG015,Oakridge Goods,Oakridge Goods — Growth Opportunity,Expansion,Proposal,Pipeline,75000,2026-11-30,2026-05-16,2026-07-16,2026-07-28,Confirm expansion scope,OWN-A03,Morgan Patel,SYNTHETIC DATA - fictional companies. No real customer data.
2026-08-20,006SYNAUG016,001SYNAUG016,Pinecrest Telecom,Pinecrest Telecom — Growth Opportunity,Expansion,Discovery,Pipeline,110000,2026-12-18,2026-02-17,2026-06-17,2026-08-04,Confirm data-readiness owner,OWN-A04,Casey Nguyen,SYNTHETIC DATA - fictional companies. No real customer data.
